ingredient,quantity_available,timestamp
spinach,500,2024-08-29 08:00:00
banana,500,2024-08-29 08:00:00
strawberry,500,2024-08-29 08:00:00
blueberry,500,2024-08-29 08:00:00
almond milk,500,2024-08-29 08:00:00
chia seeds,500,2024-08-29 08:00:00
greek yogurt,500,2024-08-29 08:00:00
honey,500,2024-08-29 08:00:00
mango,500,2024-08-29 08:00:00
pineapple,500,2024-08-29 08:00:00
coconut water,500,2024-08-29 08:00:00
flax seeds,500,2024-08-29 08:00:00
peanut butter,500,2024-08-29 08:00:00
protein powder,500,2024-08-29 08:00:00
orange,500,2024-08-29 08:00:00
lemon,500,2024-08-29 08:00:00
ginger,500,2024-08-29 08:00:00
turmeric,500,2024-08-29 08:00:00
coffee,500,2024-08-29 08:00:00
cocoa powder,500,2024-08-29 08:00:00
carrot,500,2024-08-29 08:00:00
apple,500,2024-08-29 08:00:00
almond butter,500,2024-08-29 08:00:00
dates,500,2024-08-29 08:00:00
oats,500,2024-08-29 08:00:00
soy milk,500,2024-08-29 08:00:00
